"Inoculum","Carbon_Source","Family","Replicate","sum_relab","Family_type"
1,"succinate_benzoate","Enterococcaceae",4,0.006494109,"Other"
1,"succinate_benzoate","Moraxellaceae",4,0.001669914,"Other"
1,"succinate_benzoate","Rhizobiaceae",4,0.00092773,"Other"
1,"succinate_benzoate","Sphingobacteriaceae",4,9.28e-05,"Other"
1,"succinate_cellobiose","Comamonadaceae",1,0.000371092,"Other"
1,"succinate_cellobiose","Enterococcaceae",1,0.000649411,"Other"
1,"succinate_cellobiose","Flavobacteriaceae",1,0.000185546,"Other"
1,"succinate_cellobiose","Moraxellaceae",1,0.000834957,"Other"
1,"succinate_cellobiose","Rhizobiaceae",1,0.000278319,"Other"
1,"succinate_cellobiose","Xanthomonadaceae",1,0.007421838,"Other"
1,"succinate_cellobiose","Brucellaceae",2,0.002226552,"Other"
1,"succinate_cellobiose","Enterococcaceae",2,0.000742184,"Other"
1,"succinate_cellobiose","Moraxellaceae",2,0.001762687,"Other"
1,"succinate_cellobiose","Rhizobiaceae",2,0.000463865,"Other"
1,"succinate_cellobiose","Brucellaceae",3,0.002690417,"Other"
1,"succinate_cellobiose","Enterococcaceae",3,0.001206049,"Other"
1,"succinate_cellobiose","Moraxellaceae",3,0.000834957,"Other"
1,"succinate_cellobiose","Rhizobiaceae",3,0.000371092,"Other"
1,"succinate_cellobiose","Brucellaceae",4,0.001113276,"Other"
1,"succinate_cellobiose","Enterococcaceae",4,0.000834957,"Other"
1,"succinate_cellobiose","Moraxellaceae",4,0.000649411,"Other"
1,"succinate_cellobiose","Rhizobiaceae",4,0.001113276,"Other"
1,"succinate_fructose","Aeromonadaceae",1,0.000742184,"Other"
1,"succinate_fructose","Enterococcaceae",1,0.000556638,"Other"
1,"succinate_fructose","Moraxellaceae",1,0.000463865,"Other"
1,"succinate_fructose","Oxalobacteraceae",1,0.000278319,"Other"
1,"succinate_fructose","Pseudomonadaceae",1,0.008720661,"Other"
1,"succinate_fructose","Xanthomonadaceae",1,0.003989239,"Other"
1,"succinate_fructose","Enterococcaceae",2,0.000649411,"Other"
1,"succinate_fructose","Moraxellaceae",2,0.001577141,"Other"
1,"succinate_fructose","Rhizobiaceae",2,0.000556638,"Other"
