exp_id,Family,Treatment,Replicate,variable,Abundance,Abundance_1,Abundance_2,Predicted_Abundance,q,q2,seed,S,Epsilon,Dominates
7922,F1,SA,SA,SA,0.862520681154815,0.477103681829383,0.80347958103312,0.640291631431252,0.15,0.25,77,200,0.222229049723563,1
7923,F0,SA,SA,SA,0.723813264885907,0.552784325393777,0.310217364007341,0.43150084470056,0.25,0.25,77,200,-0.292312420185347,-1
7923,F1,SA,SA,SA,0.27618671319941,0.447215660713687,0.689782628037825,0.568499144375757,0.25,0.25,77,200,-0.292312431176347,-1
7924,F0,SA,SA,SA,0.102907248702545,0.220582280660716,0.0839675875581192,0.152274934109418,0.35,0.25,77,200,0.049367685406873,1
7924,F1,SA,SA,SA,0.897092733679472,0.779417711544298,0.916032394869876,0.847725053207088,0.35,0.25,77,200,0.0493676804723839,1
7925,F0,SA,SA,SA,0.957982048057978,0.874895272576801,0.647782069468359,0.761338671022581,0.45,0.25,77,200,-0.196643377035397,-1
7925,F1,SA,SA,SA,0.0420179451185813,0.125104717617597,0.352217908339113,0.238661312978356,0.45,0.25,77,200,-0.196643367859775,-1
7926,F0,SA,SA,SA,0.81725308116078,0.966214459141181,0.842201045843542,0.904207752492362,0.55,0.25,77,200,0.086954671331582,1
7926,F1,SA,SA,SA,0.182746881484548,0.03378551439516,0.157798936199916,0.095792225297538,0.55,0.25,77,200,0.08695465618701,1
7927,F0,SA,SA,SA,0.596980109015964,0.643293319064444,0.929403200947156,0.786348260005802,0.65,0.25,77,200,-0.189368150989838,-1
7927,F1,SA,SA,SA,0.403019878451565,0.356706666717601,0.0705967898035739,0.213651728260588,0.65,0.25,77,200,-0.189368150190977,-1
7928,F0,SA,SA,SA,0.753937687162068,0.964856063547854,0.726946581729093,0.845901322638474,0.75,0.25,77,200,0.091963635476406,1
7928,F1,SA,SA,SA,0.246062283080768,0.0351439206313082,0.273053405658598,0.154098663144953,0.75,0.25,77,200,0.091963619935815,1
7929,F0,SA,SA,SA,0.993359072048276,0.999999980538335,0.977321559693434,0.988660770115886,0.85,0.25,77,200,-0.00469830193238996,-1
7929,F1,SA,SA,SA,0.0066409142046836,0,0.0226784291638408,0.0113392145819204,0.85,0.25,77,200,-0.0046983003772368,-1
7931,F0,SA,SA,SA,0.0426973598361344,0.294574280413082,0,0.147287140206541,0.05,0.35,77,200,0.104589780370407,1
7931,F1,SA,SA,SA,0.95730263424538,0.705425707253063,0.999999980051939,0.852712843652501,0.05,0.35,77,200,0.104589790592879,1
7932,F0,SA,SA,SA,0.0882331984270122,0.412676634946281,0.294955469033936,0.353816051990109,0.15,0.35,77,200,0.265582853563097,1
7932,F1,SA,SA,SA,0.911766796087177,0.587323353654947,0.705044517195887,0.646183935425417,0.15,0.35,77,200,0.26558286066176,1
7933,F0,SA,SA,SA,0.0148102791529908,0.0502979793700317,0.200441124811997,0.125369552091015,0.25,0.35,77,200,-0.110559272938024,-1
7933,F1,SA,SA,SA,0.985189711985377,0.949702010177753,0.799558858309019,0.874630434243387,0.25,0.35,77,200,-0.11055927774199,-1
7934,F0,SA,SA,SA,0.892970980091185,0.999999994904181,0.51546084119588,0.757730418050031,0.35,0.35,77,200,-0.135240562041154,-1
7934,F1,SA,SA,SA,0.107029007082764,0,0.484539148924947,0.242269574462473,0.35,0.35,77,200,-0.135240567379709,-1
7935,F0,SA,SA,SA,0.653790532185598,0.78721988804593,0.371038435784456,0.579129161915193,0.45,0.35,77,200,-0.074661370270405,-1
7935,F1,SA,SA,SA,0.346209438314449,0.212780094994033,0.628961558442363,0.420870826718198,0.45,0.35,77,200,-0.074661388403749,-1
7936,F0,SA,SA,SA,0.988057822666632,0.904561288351708,0.955076368949348,0.929818828650529,0.55,0.35,77,200,0.058238994016103,1
7936,F1,SA,SA,SA,0.0119421571880923,0.0954387010205691,0.0449236075990416,0.0701811543098055,0.55,0.35,77,200,0.0582389971217132,1
7938,F0,SA,SA,SA,0.976897816721364,0.951491484046618,0.96403131680178,0.9577614004242,0.75,0.35,77,200,0.019136416297164,1
7938,F1,SA,SA,SA,0.0231021625874578,0.0485085097593865,0.0359686603984959,0.0422385850789413,0.75,0.35,77,200,0.0191364224914835,1
7939,F0,SA,SA,SA,0.683573558873161,0.9999999885961,0.465994740293095,0.732997364444598,0.85,0.35,77,200,0.049423805571437,1
7939,F1,SA,SA,SA,0.316426424332281,0,0.534005244416547,0.267002622208274,0.85,0.35,77,200,0.049423802124007,1
7940,F0,SA,SA,SA,0.970014657992211,0.99999998225884,0.953892989455652,0.976946485857247,0.95,0.35,77,200,0.00693182786503599,1
7940,F1,SA,SA,SA,0.0299853243565652,0,0.0461069902913141,0.0230534951456571,0.95,0.35,77,200,0.0069318292109081,1
7941,F0,SA,SA,SA,0.199029620920017,0.171521728131603,0.220969470908395,0.196245599519999,0.05,0.45,77,200,0.00278402140001799,1
7941,F1,SA,SA,SA,0.800970366709569,0.828478252234067,0.779030511112254,0.803754381673161,0.05,0.45,77,200,0.00278401496359204,1
7942,F0,SA,SA,SA,0,0.277265109034566,0,0.138632554517284,0.15,0.45,77,200,0.138632554517284,1
7942,F1,SA,SA,SA,0.999999991687272,0.722734873046892,0.999999982807266,0.861367427927079,0.15,0.45,77,200,0.138632563760193,1
7943,F0,SA,SA,SA,0.296208272761861,0.0579387845926504,0.26450632664437,0.16122255561851,0.25,0.45,77,200,0.134985717143351,1
7943,F1,SA,SA,SA,0.703791704792842,0.942061201611073,0.735493649526643,0.838777425568858,0.25,0.45,77,200,0.134985720776016,1
7944,F0,SA,SA,SA,0.762445272600641,0.513138016486018,0.784445070705758,0.648791543595888,0.35,0.45,77,200,0.113653729004753,1
7944,F1,SA,SA,SA,0.237554704825538,0.486861969923138,0.215554891048651,0.351208430485895,0.35,0.45,77,200,0.113653725660357,1
7945,F0,SA,SA,SA,0.789198341196412,0.914497527954196,0.436074276702082,0.67528590232814,0.45,0.45,77,200,-0.113912438868272,-1
7945,F1,SA,SA,SA,0.210801630222508,0.0855024651780051,0.563925717028754,0.32471409110338,0.45,0.45,77,200,-0.113912460880872,-1
7946,F0,SA,SA,SA,0.913929324408314,0.981126081337037,0.611524908983777,0.796325495160407,0.55,0.45,77,200,-0.117603829247907,-1
